Customer Name,Customer e-mail,Country,Gender,Age,Annual Salary,Credit Card Debt,Net Worth,Car Purchase Amount
Douglas Parsons,alex07@example.com,Mexico,1,57,36467.45,8995.9,147601.25,27862.93
Thomas Fischer,hadams@example.net,India,0,45,155950.32,47540.72,130354.21,70127.25
Susan Callahan,travis80@example.com,United Kingdom,0,34,156909.8,33983.85,597043.97,111476.03
Charles Pope,qburke@example.net,Canada,0,70,112530.23,14808.65,376201.78,80708.1
Adrian Smith,gclay@example.com,France,0,29,77657.93,42209.09,19747.3,28653.26
Vincent Martin,kennedyjoshua@example.com,Canada,0,24,112995.82,31554.82,734277.62,117135.73
Jonathan Miles,lacey59@example.net,Japan,1,31,161232.19,49128.37,889873.67,139462.31
Brent Hartman,pberger@example.net,Brazil,0,64,79992.1,39525.57,976356.33,116860.1
Brandy Walker,evanssteven@example.com,United Kingdom,1,21,56185.77,2706,268898.47,49418.46
Kimberly Ramos MD,vickigarcia@example.net,France,1,54,142345.7,27299.29,235400.92,71126.87
Bob Carter MD,bridgetrobinson@example.com,Mexico,0,30,72412.71,1102.06,389668.41,72369.72
Sarah Campbell,cmorales@example.org,France,0,44,126148.13,34300.69,125513.14,52911.12
Patrick Chambers,johnjones@example.com,United Kingdom,1,58,59071.41,16280.18,338546.43,55987.69
Austin Holt,susanroy@example.org,Canada,0,52,121546.27,38961.46,804308.27,117731.22
Anthony Lee,qgordon@example.com,Brazil,0,19,25650.66,39991.13,201086.84,18825.28
Adam Roberts,hlopez@example.com,Australia,0,50,75638.24,19244.1,409761.78,66910.55
Rebecca Hayes,brandonschmidt@example.net,Canada,0,36,37852.17,25291.33,226373.07,31432.31
Sarah Aguirre MD,eringeorge@example.net,Germany,0,64,124782.27,44068.44,932934.2,132882.83
John Delgado Jr.,bethany63@example.com,France,0,68,189257.08,40343.8,776170.68,148187.14
Laurie Jackson,scott42@example.org,Australia,1,40,23534.65,32522.92,478293.8,46345.36
Dr. Sean White,kimberly78@example.com,Japan,0,70,80475.28,38618.74,111650.49,37767.5
Chris Horne,tylerfranklin@example.com,Mexico,0,57,121754.97,37869.97,188215.83,64743.37
Roger Banks MD,thomas01@example.net,Japan,0,67,66026.04,17766.99,428335.94,68707.26
Sherri Hines,jdean@example.com,India,1,25,182243.59,37345.46,975508.28,160128.17
Amy Griffin,hartmanjoe@example.net,Mexico,0,60,160279.78,48070.12,490789.84,103969.7
Rebecca Dougherty,vduarte@example.com,Mexico,1,47,167257.07,4725.2,669853.08,130943.64
Paul Contreras,nicholaswilliams@example.net,France,1,41,78434.31,22501.48,302652.61,59447.65
Joshua Miles,brooksrose@example.com,United States,1,58,95010.99,1810.89,828237.2,116485.52
Tiffany Hernandez,phogan@example.net,Canada,0,19,100513.9,35907.98,57039.62,34681.64
Frank Neal,carrollkathleen@example.net,India,1,62,27703.57,29460.5,955135.65,97494.31
Roger Turner,maylarry@example.net,Germany,1,47,185622.09,30341.58,91208.85,73267.78
Scott Fritz,rosesteven@example.org,India,0,30,166615.39,42632.32,88287.85,65989.63
James Pollard,moraleskatie@example.com,France,1,45,127259.89,13458.37,958482.55,140779.58
Shirley Turner,victoria78@example.net,United States,0,64,60680.11,36587.63,675074.92,86631.12
Ashley Robertson,conniemontgomery@example.org,Mexico,1,28,137029.68,24529.06,16693.48,53391.63
Deanna Garcia,valeriedavis@example.org,Canada,0,39,150141.17,26197.32,856890.68,144981.84
Christian Reeves,mparker@example.org,United Kingdom,1,25,30445.69,23690.18,723873.49,77749.7
Deanna Woods,shicks@example.com,France,1,61,174434.64,36947.29,983207.61,157032.87
Brian Phillips,ashley81@example.com,United States,1,40,164513.25,11556.87,598080.22,124062.41
Matthew Lucero,zjordan@example.org,Japan,1,67,135456.36,1093.45,966792.08,151824.24
Edward Flowers,michael85@example.org,Japan,0,25,186941.35,30410.34,956995.77,161505.74
Alexandra Daniel,phelpsanthony@example.com,Japan,1,29,70668.81,49710.48,60815.67,22844.59
Chelsea Lawson,justingonzalez@example.net,United Kingdom,1,23,51122.28,44762.75,482459.42,57700.81
Dawn Huang,alexisbrown@example.com,Brazil,1,58,57796.32,11110.14,220838.92,44660.32
Krista Rose,pstein@example.net,United States,0,32,172046.6,39716.26,809794.22,137476.44
Kimberly Richardson,kmartin@example.net,Japan,0,63,37861.77,1293.02,164869.26,34062.69
John Hicks,simmonsalisha@example.com,Canada,0,21,49939.71,33383.33,550155.88,70661.8
Susan Perez,fphelps@example.com,United Kingdom,0,24,67351.44,30675.67,289679.82,51718.29
Bradley Davis,popebrent@example.com,Brazil,0,29,78056.22,38906.17,456658.38,65982.23
Karina Coleman,christina13@example.com,France,1,50,60214.7,49281.78,437235.14,55468.56
Shawn Price,raymondalexander@example.org,Canada,1,52,81857.15,38206.17,312588.48,55829.48
Jeff Mcguire,julie13@example.org,Germany,0,67,198028.76,43186.85,89111.51,75440.81
Jamie Hughes,jjohnson@example.net,Japan,0,46,93166.7,35482.53,350659.51,69818.97
Chelsea Chambers,qfrey@example.net,Germany,1,36,148676.85,25650.7,872507.22,146012.18
Laura Ramos,bradleyhuffman@example.com,United Kingdom,1,67,167836.66,29317.32,642388.22,124273.69
Diana Church,jenniferguerrero@example.com,United Kingdom,0,68,85218.22,4722.33,785063.04,112342.51
Joshua Hayes,cyoder@example.org,Mexico,0,58,157864.98,45047.73,540882.9,112271.4
Deborah Parker,xmoore@example.net,Canada,1,24,163647.02,25078.25,943006.38,153443.46
Lisa Galvan,shawn09@example.com,France,1,46,78554.59,10371.18,653147.57,89982.13
Marc Hawkins,donna17@example.net,Japan,1,59,188134.44,33009.95,20431.37,74582.23
Albert Kaufman,jason74@example.org,United Kingdom,1,69,100774.47,41173.18,792304.19,107086.51
Christopher Armstrong,jacksoncynthia@example.com,United Kingdom,0,55,85861.67,29242.13,307847.32,54795.75
Kyle Harris,brenda16@example.org,Germany,1,44,43434.18,2067.62,531861.37,71053.93
Suzanne Brooks,cookkayla@example.org,Mexico,0,57,107347.62,24484.12,609014.85,101805.8
Mr. Joseph Robles Jr.,rcook@example.com,United States,1,29,46312.37,10788.22,160847.52,34396.83
Bonnie Johnson,ajohnson@example.net,United States,1,50,146913.95,44596.42,157872.11,66839.69
Morgan Burke,smithregina@example.net,Brazil,0,46,172684.61,49097.98,560774.71,119915.93
Jessica Miles,corybrady@example.net,United States,1,51,146144.06,32219.72,415228.32,90246.61
Lindsey Gray,andrewwalter@example.org,India,0,26,23369.8,6108.99,195183.9,24776.12
Emma Park,justingreen@example.com,France,1,53,180106.26,32453.81,871667.06,150238.49
Tamara Dixon,anthony21@example.org,Australia,1,47,137383.97,9159.93,876604.81,144014.45
Timothy Whitehead,gregorythompson@example.org,Japan,0,25,178850.13,36016.84,351916.13,98502.76
Kristy Mcneil,danielkristie@example.net,United States,0,31,53931.64,36558.14,651558.44,77240.69
Juan Nichols,johnfarmer@example.net,United Kingdom,1,23,71538.53,33078.55,108480.72,33931.89
Charles Morgan,mcconnellcharles@example.net,United Kingdom,1,45,165176.27,10432.19,381387.48,97788.99
Chelsea Henderson,paulajohnson@example.com,France,0,47,160410.81,15608.44,622336.58,124089.41
Maria Goodman,xhill@example.net,India,1,67,146714.84,669.34,150770.23,71492.56
Kimberly Browning,amyjohnson@example.org,United States,1,31,76156.73,30605.36,285688.27,54397.1
Alicia Williams,wrightjulie@example.net,United States,1,36,120758.22,31998.07,943144.88,140467.85
David Marquez,joseph91@example.org,India,1,46,66234.16,6190.35,443727.75,66425.45
Meghan Zimmerman,meredithtaylor@example.com,United States,1,19,41139.81,33585.53,890196.21,103277
Lindsay Tucker,anneverett@example.com,Australia,0,19,106592.86,32213.9,84330.41,46451.88
Amanda Crawford,phillipsteresa@example.net,Australia,0,21,103320.04,32152.61,668740.52,106232.83
Shawn Morales III,oscott@example.com,Canada,1,28,180076.55,30379.35,653317.67,127905.7
Jennifer Wong,qgross@example.net,United States,1,51,179617.29,45018.25,723939.81,137668.47
Nathan Ramsey Jr.,lauraruiz@example.com,Canada,1,51,190376.61,30856.81,593124.39,131412.67
Pamela Briggs,timothyjohnson@example.org,United States,1,41,29214.48,10693.64,693064.19,80843.32
Katherine Chen,kdickson@example.net,United Kingdom,0,69,41458.11,8721.68,35409.68,22895.54
Jenny Hurley,jonesstacy@example.org,India,1,62,93565.12,42744.2,886227.79,121880.29
Crystal Adams,melissaavery@example.org,Canada,1,28,192269.82,12340.6,214435.8,91723.53
Bianca Bryant,laurayoung@example.org,Mexico,1,47,149344.9,9629.53,427859.89,105018.19
Sean Wright,gabrielpratt@example.net,United States,0,27,178428.23,3731.19,668883.89,141654.37
Jennifer Little,vazqueztheresa@example.org,Mexico,1,60,51623.69,2166.88,898819.15,110266.41
Roy Rodriguez,derek35@example.org,Brazil,1,45,48388.43,23310.84,174435.49,33905.41
Rodney Hughes,bellbradley@example.org,Canada,1,38,164429.56,45536.34,838928.79,137178.4
Phillip Ford,jsutton@example.org,United Kingdom,0,28,141637.54,48538.73,85985.01,51262.32
Austin Murphy,brianlopez@example.net,Brazil,1,56,22724.64,43702.27,707997.54,67191.77
Bob Murphy,eric45@example.net,United Kingdom,0,32,144807.16,5176.48,61130.38,66276.89
Laura Carter,vkim@example.org,Brazil,1,39,68036.19,1963.49,333600.86,55336.71
Diana Garner,alvarezkyle@example.com,United States,0,36,33617.53,6033.08,386920.67,45934.82
Jenny Marshall,stephensemily@example.net,Canada,0,50,165051.12,36732.11,573325.52,111273.02
Michael Martin,rbeltran@example.com,Mexico,0,28,127798.54,6347.44,374225.36,86541.3
Sydney Hunter,matthew31@example.com,Germany,0,69,193335.27,33448,286682.8,98373.81
Tracy Morgan,nancy34@example.org,Canada,1,57,33305.59,36515.06,78551.02,9435.65
Danielle Cook,morrislaura@example.net,Mexico,0,33,103862.87,48884.55,287138.46,56121.79
Donna Moore,hendersonrobert@example.org,Brazil,1,45,191973.25,1638.96,538652.26,130244.29
Kyle Simon,martinezkenneth@example.net,United States,1,45,44867.01,1468.15,826026.22,96174.85
April Smith,oschmidt@example.com,France,0,68,64771.18,8912.76,116257.21,35137.6
Dr. Erica Rodriguez,juanhuff@example.org,Canada,1,54,188831.6,33044.38,886488.05,154256.43
Krista Baird,monica80@example.net,Germany,1,68,163310.21,43514.01,199942.77,76204.69
Jeffrey Bowers,michaeljarvis@example.com,Canada,1,53,91788,49746.06,847599.78,109932.59
William Davis,nlandry@example.net,Japan,0,69,164500.83,9304.58,565115.12,122836.63
Billy Johnson,brenda13@example.com,Canada,0,70,66427.84,38853.66,478782.83,68382.28
Elizabeth Long,smiller@example.org,Brazil,0,42,143734.65,33571.58,71335.96,55959.65
Destiny Mann,ericpearson@example.net,Germany,1,51,149330.85,17254.03,355111.11,95386.42
Jordan Ross,michaelbrown@example.org,Mexico,0,43,195195.28,47839.33,418182.25,107961.99
Robert Payne,brian62@example.net,France,0,50,150930.21,20162.88,470124.55,106814.5
Samantha Morton,ashley31@example.org,India,1,37,197637.43,48968.09,630120.34,135545.42
Deanna Sanford,ymendez@example.net,Japan,1,49,178907.96,14265.31,117106.38,76509.69
Amanda Nelson,matthewbrown@example.net,United States,1,69,155530.88,49268.44,350787.79,91410.89
Katherine Matthews,pcrawford@example.com,France,1,23,147698.82,20867.8,388541.76,96137.06
Melissa Diaz,shawn51@example.org,United States,1,39,194010.07,33147.64,474504.6,121447.81
Casey Cole,rayelaine@example.org,Japan,0,64,179566.36,29781.26,383647.22,101114.59
Alan Bates,bowmanjennifer@example.org,Australia,0,38,46826.23,13904.35,711240.91,84297.9
Mary Edwards,lopezvicki@example.net,United Kingdom,0,26,112276.31,10578.39,476464.99,93808.12
Deborah Sheppard,david35@example.com,Australia,1,31,193193.65,1638.91,705779.07,151201.36
Carol Walsh,watersrebecca@example.com,India,1,50,154975.5,4841.33,541428.72,115282.97
Michael Smith,dawn90@example.com,United Kingdom,0,45,56158.81,10784.7,13923.49,23792.06
Jeremiah Roth Jr.,qhernandez@example.com,Germany,0,30,43303.86,30805.92,776786.96,92355.45
Mary Phillips,jameswashington@example.org,Canada,0,18,37674.06,43418.99,36517.1,13373.73
Brenda Mccarty,hermancharles@example.net,United States,1,26,176700.74,1038.45,856664.88,157031.5
Kim Davies,frederick58@example.org,United States,1,52,35753.01,49791.01,872766.66,94795.84
Gina Barajas,iwilliams@example.com,India,1,22,29008.42,16252.65,400836.29,50364.35
Lorraine Jennings,julie93@example.org,India,0,58,158571.02,36263,915938.92,143622.73
Melissa Davis,nford@example.org,India,1,42,102339.62,24094.84,432226.25,76327.32
Richard Lane,esaunders@example.org,Australia,1,22,28376.83,26519.33,547753.07,57562.59
Christian Pruitt,kathleen51@example.net,Germany,0,68,46900.91,39843.91,991171.88,114018.74
Randy Townsend,thomasaguirre@example.net,United States,0,50,133627.05,24325.04,84310.2,53148.19
Austin Ward,daniel87@example.org,Japan,0,18,133188.41,43887.31,278798.09,69781.74
Dwayne Nixon,johnsonaaron@example.org,Mexico,1,18,61947.18,13756.9,345502.41,52466.25
Angela Martinez,nicolesullivan@example.org,United States,0,64,155451.77,37157,46542.55,63903.07
Jeremiah Lee,jesus30@example.org,Mexico,0,55,196012.36,35960.31,825647.66,150875.32
Barbara Smith,taraward@example.net,India,1,35,168635.49,17836.13,146811.94,73622.79
Melissa King,herrerasherry@example.net,Brazil,1,37,60366.77,49387.64,280451.09,42053.54
Andrea Gallagher,traviskathleen@example.net,Mexico,1,53,98322.68,11410.06,648406.16,99957.68
Laurie Bailey,bradley70@example.com,United Kingdom,0,47,96492.79,4690.9,289355.09,62362.96
Melanie Wolfe,dustin96@example.net,Japan,1,32,70707.56,46719.25,784154.29,97341.85
Emily Gonzalez,todd53@example.com,France,0,37,57818.72,46140.65,646909.81,76332.9
Jacqueline Butler,rodriguezalexis@example.net,United States,1,43,65870.67,47365.99,291212.49,50372.69
Susan Buckley,qrivera@example.com,Brazil,0,39,75415.97,23959.63,836092.25,109780.81
Ryan Raymond,ana75@example.net,France,0,65,92251.47,31367.05,545376.17,84787.64
Shannon Perez,olsonharry@example.com,Brazil,1,43,33311,2435.37,980832.14,106150.34
Brad Estrada,danielmiller@example.com,Australia,1,60,97501.74,8100.78,48491.74,37945.69
Keith Martin,jacqueline03@example.com,Mexico,1,64,134434.05,47597.97,360759.47,76499.68
Leslie Garcia,llong@example.net,Australia,1,37,140790.92,20356.2,482410.33,103179.37
Michele Foley,harrissteven@example.org,India,0,55,98740.74,22487.12,643421.33,103095.46
Kim Jones,bwhite@example.net,Germany,1,60,47627.66,29294.36,782526.87,92297.82
Russell Gibson,colleenmiller@example.com,Germany,1,46,147438.39,12704.58,166055.46,75648.38
Michael Torres,holly68@example.net,France,0,36,135801.87,37292.77,38762.56,46438.74
Robert Rivera,jacob89@example.org,Brazil,1,37,58489.91,14013.74,323390.98,56783.51
Sherry Olsen,bradleytimothy@example.com,India,1,68,20028.14,14987.69,774827.74,87490.58
Joseph Allen,daniel99@example.org,Brazil,0,61,111937.67,41548.09,818916.36,121359.55
Jason Marsh,charles99@example.org,United Kingdom,0,52,148946.4,18299.65,523156.15,105221.48
Sarah Brewer,sanfordmichael@example.com,India,0,26,110531.08,24468.63,460473.78,83571.31
Kayla Brown DDS,amanda83@example.net,Australia,1,23,82851.15,18802.15,847727.73,112896.17
Chad Huffman,andrea89@example.net,France,1,65,66061.42,37999.5,199046.46,38597.5
